Song,Polyphony,Polyphony Rate,Pitch in Scale Rate,Scale Consistency,No. Pitches Used,No. Pitch Classes Used,Pitch Class Entropy,Pitch Entropy
image_102.png,4.447916666666667,0.9739583333333334,0.8050351288056206,0.844847775175644,20,11,2.7769132267871104,3.9275021889155246
image_103.png,2.2526041666666665,0.28125,0.47167630057803467,0.7086705202312139,24,12,3.213416194743015,4.338939146936973
image_104.png,2.7239583333333335,0.5182291666666666,0.5869980879541109,0.7122370936902486,20,11,3.257012888043545,3.988910185939091
image_105.png,4.666666666666667,0.90625,0.8376116071428571,0.8376116071428571,22,11,2.9505201798553395,4.077279256810911
image_106.png,3.9557291666666665,0.8203125,0.4838709677419355,0.7518104015799868,32,11,3.2857756725357614,4.772116196782081
image_107.png,3.1089385474860336,0.4895833333333333,0.3971248876909254,0.7313566936208445,27,11,3.1961632308711336,4.507440773415144
image_108.png,3.3942558746736293,0.7916666666666666,0.5061538461538462,0.7153846153846154,28,12,3.286563050423711,4.2982565834178175
image_109.png,3.676056338028169,0.7421875,0.46513409961685825,0.7034482758620689,21,12,3.242956287869689,4.071550853402744
image_110.png,5.075520833333333,0.9375,0.474089276552078,0.7732170343766034,27,11,3.1104616958701197,4.363070613424762
image_111.png,4.128272251308901,0.8769633507853403,0.6512365250475587,0.8357641090678504,15,11,3.145333494217824,3.4490122474256233
image_112.png,4.989583333333333,0.96875,0.8209812108559499,0.8496868475991649,24,11,3.1393902601454244,4.1928707189665655
image_113.png,3.9105263157894736,0.8489583333333334,0.5242261103633916,0.8358008075370121,25,11,3.173223779984774,4.275019255538851
image_114.png,4.821522309711286,0.9088541666666666,0.6586826347305389,0.778987479586282,33,12,3.277803121042076,4.636358300167567
image_115.png,2.539772727272727,0.3359375,0.49328859060402686,0.7416107382550335,19,11,3.234599564624914,3.9804348293022156
image_116.png,3.6130790190735693,0.7578125,0.42684766214177977,0.7918552036199095,26,12,3.183520053239643,4.323997543413515
image_117.png,3.365994236311239,0.5807291666666666,0.511986301369863,0.836472602739726,25,11,3.005603349366566,4.236706326219175
image_118.png,3.0106382978723403,0.6354166666666666,0.6872791519434629,0.726148409893993,16,11,3.220928923446121,3.519025282652019
image_119.png,1.4732824427480915,0.0390625,0.4689119170984456,0.9585492227979274,9,7,2.386343348439474,2.718884803309599
image_120.png,3.0948509485094853,0.7161458333333334,0.649737302977233,0.7950963222416813,26,12,3.2889087885133756,4.385872798421888
image_121.png,2.1317365269461077,0.27925531914893614,0.26685393258426965,0.875,12,8,2.5101067174722105,3.2249266193942865
image_122.png,2.3398876404494384,0.4228723404255319,0.4309723889555822,0.7635054021608644,17,8,2.871322474024941,3.800174433568266
image_123.png,2.485955056179775,0.3697916666666667,0.2497175141242938,0.8248587570621468,19,12,2.9753075498060664,3.976244718499745
image_124.png,4.151041666666667,0.9427083333333334,0.5991217063989962,0.6693851944792973,28,12,3.4393662251744432,4.38090101444309
image_125.png,2.478114478114478,0.375,0.6127717391304348,0.7269021739130435,19,12,3.2832926209817903,3.961542564036237
image_126.png,3.9427083333333335,0.9036458333333334,0.4002642007926024,0.8771466314398944,25,11,2.844019074616526,4.26748849403883
image_127.png,2.656160458452722,0.5130208333333334,0.343042071197411,0.8414239482200647,19,9,2.8995330817622746,3.9679253286921705
image_128.png,2.5272206303724927,0.4521276595744681,0.5113378684807256,0.8798185941043084,18,11,2.901552505392628,3.8241948485309845
image_129.png,3.1640625,0.6796875,0.6781893004115226,0.6847736625514403,26,12,3.4270864975441766,4.46450852876039
image_130.png,3.7161458333333335,0.765625,0.44849334267694463,0.6937631394533987,19,12,3.375547246816928,4.016992484079191
image_131.png,4.213541666666667,0.8098958333333334,0.4320148331273177,0.826946847960445,23,11,3.171760559948922,4.238198671062679
image_132.png,3.2604166666666665,0.7369791666666666,0.634185303514377,0.7611821086261981,19,11,3.1995284624427747,3.9932386612092903
image_133.png,2.2942708333333335,0.4140625,0.4585698070374574,0.7037457434733257,17,10,3.1899593753851465,3.809299021832012
image_134.png,2.95,0.6210526315789474,0.6717216770740411,0.7814451382694023,23,12,3.070717768313867,4.220289154269901
image_135.png,4.419354838709677,0.8924731182795699,0.48479318734793186,0.8375912408759124,25,12,3.1855328775663985,4.354979667581541
image_136.png,2.5416666666666665,0.484375,0.38114754098360654,0.8002049180327869,19,10,2.9947272973921693,3.844650087155102
image_137.png,2.2393617021276597,0.32978723404255317,0.27315914489311166,0.8931116389548693,17,8,2.7287262131261607,3.5487483000819293
image_138.png,3.2786458333333335,0.7421875,0.30103256552819696,0.8482922954725973,26,11,3.054481430924212,4.316498519642982
image_139.png,3.5945945945945947,0.7648648648648648,0.3699248120300752,0.7699248120300752,28,12,3.187382506340026,4.438522316638139
image_140.png,3.148936170212766,0.6484375,0.5726351351351351,0.7086148648648649,18,12,3.221541647657919,3.712900346337636
image_141.png,2.089337175792507,0.30376344086021506,0.48,0.7324137931034482,18,12,3.2244858424273537,3.9282638936176864
image_142.png,2.609550561797753,0.5106382978723404,0.348762109795479,0.8213132400430571,19,10,2.8961594370459616,3.828748507528034
image_143.png,2.7083333333333335,0.5416666666666666,0.6153846153846154,0.7723076923076924,15,9,3.057258467700281,3.629657801822332
